"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 04:03:13 GMT 2022","Sat Jun 25 04:03:14 GMT 2022","1547","","NPM Project Swag Labs","","","","Adding products to cart",""
"passed","Sat Jun 25 04:03:07 GMT 2022","Sat Jun 25 04:03:09 GMT 2022","1924","","NPM Project Swag Labs","","","","Login",""
