"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 21:25:09 BRT 2022","Tue Jun 07 21:25:11 BRT 2022","1962","","NPM Project Swag Labs","","","","Login",""
"passed","Tue Jun 07 21:25:13 BRT 2022","Tue Jun 07 21:25:14 BRT 2022","1123","","NPM Project Swag Labs","","","","Adding products to cart",""
