"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 01:18:47 GMT 2022","Thu Jun 16 01:18:50 GMT 2022","2978","","NPM Project Swag Labs","","","","Login",""
"passed","Thu Jun 16 01:18:54 GMT 2022","Thu Jun 16 01:18:56 GMT 2022","2599","","NPM Project Swag Labs","","","","Adding products to cart",""
