"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 18:33:02 GMT 2022","Tue Jun 14 18:33:05 GMT 2022","2663","","NPM Project Swag Labs","","","","Login",""
"passed","Tue Jun 14 18:33:08 GMT 2022","Tue Jun 14 18:33:09 GMT 2022","1615","","NPM Project Swag Labs","","","","Adding products to cart",""
