"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 29 21:51:21 GMT 2022","Sun May 29 21:51:22 GMT 2022","1015","","NPM Project Swag Labs","","","","Adding products to cart",""
"passed","Sun May 29 21:51:19 GMT 2022","Sun May 29 21:51:21 GMT 2022","2179","","NPM Project Swag Labs","","","","Login",""
