"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 21:40:35 GMT 2022","Sat Jun 25 21:40:37 GMT 2022","1420","","NPM Project Swag Labs","","","","Adding products to cart",""
"passed","Sat Jun 25 21:40:30 GMT 2022","Sat Jun 25 21:40:32 GMT 2022","1852","","NPM Project Swag Labs","","","","Valid login",""
"passed","Thu Jun 16 01:14:22 GMT 2022","Thu Jun 16 01:14:23 GMT 2022","1388","","NPM Project Swag Labs","","","","Login",""
