"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 15:41:15 GMT 2022","Sat Jun 25 15:41:17 GMT 2022","1759","","NPM Project Swag Labs","","","","Valid login",""
"passed","Sat Jun 25 15:41:20 GMT 2022","Sat Jun 25 15:41:21 GMT 2022","1441","","NPM Project Swag Labs","","","","Adding products to cart",""
"passed","Thu Jun 16 01:14:22 GMT 2022","Thu Jun 16 01:14:23 GMT 2022","1388","","NPM Project Swag Labs","","","","Login",""
