"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 19:12:39 GMT 2022","Sat Jun 25 19:12:41 GMT 2022","1811","","NPM Project Swag Labs","","","","Valid login",""
"passed","Thu Jun 16 01:14:22 GMT 2022","Thu Jun 16 01:14:23 GMT 2022","1388","","NPM Project Swag Labs","","","","Login",""
"passed","Sat Jun 25 19:12:44 GMT 2022","Sat Jun 25 19:12:46 GMT 2022","1527","","NPM Project Swag Labs","","","","Adding products to cart",""
