"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 21:54:15 GMT 2022","Sat Jun 25 21:54:17 GMT 2022","2236","","NPM Project Swag Labs","","","","Login",""
"passed","Sat Jun 25 21:54:21 GMT 2022","Sat Jun 25 21:54:23 GMT 2022","2011","","NPM Project Swag Labs","","","","Adding products to cart",""
