"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 01:14:22 GMT 2022","Thu Jun 16 01:14:23 GMT 2022","1388","","NPM Project Swag Labs","","","","Login",""
"passed","Sat Jun 25 21:49:14 GMT 2022","Sat Jun 25 21:49:16 GMT 2022","1815","","NPM Project Swag Labs","","","","Login ",""
"passed","Sat Jun 25 21:49:19 GMT 2022","Sat Jun 25 21:49:20 GMT 2022","1496","","NPM Project Swag Labs","","","","Adding products to cart",""
