"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 01:14:22 GMT 2022","Thu Jun 16 01:14:23 GMT 2022","1388","","NPM Project Swag Labs","","","","Login",""
"passed","Sat Jun 25 21:45:57 GMT 2022","Sat Jun 25 21:45:59 GMT 2022","1601","","NPM Project Swag Labs","","","","Valid login ",""
"passed","Sat Jun 25 21:46:02 GMT 2022","Sat Jun 25 21:46:04 GMT 2022","1545","","NPM Project Swag Labs","","","","Adding products to cart",""
