"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 23:56:36 GMT 2022","Tue Jun 07 23:56:39 GMT 2022","3012","","NPM Project Swag Labs","","","","Login",""
"passed","Tue Jun 07 23:56:41 GMT 2022","Tue Jun 07 23:56:43 GMT 2022","1896","","NPM Project Swag Labs","","","","Adding products to cart",""
